sr_no,station,zone,code,division,state,present_category,nsg_group,passengers_reserved,passengers_unreserved,passengers_total,earnings_reserved,earnings_unreserved,earnings_total,proposed_category
1,New Jalpaiguri,NFR,NJP,KIR,WEST BENGAL,NSG-2,NSG-2,3207573,1560214,4767787,3364976836,176133125,3541109961,NSG-2
2,Guwahati,NFR,GHY,LMG,ASSAM,NSG-2,NSG-2,3785086,3145760,6930846,3187299926,346715325,3534015251,NSG-2
3,Katihar,NFR,KIR,KIR,BIHAR,NSG-2,NSG-2,1461305,4984018,6445323,1225652598,374684880,1600337478,NSG-2
4,Kamakhya Jn,NFR,KYQ,LMG,ASSAM,NSG-6,NSG-2,1145077,1147953,2293030,1142904946,145748430,1288653376,NSG-2
1,Kishanganj,NFR,KNE,KIR,BIHAR,NSG-3,NSG-3,831354,1141000,1972354,843231185,153609260,996840445,NSG-3
2,New Coochbehar,NFR,NCB,APDJ,WEST BENGAL,NSG-3,NSG-3,754367,684312,1438679,790399991,73079515,863479506,NSG-3
3,New Bongaigaon Jn,NFR,NBQ,RNY,ASSAM,NSG-3,NSG-3,636141,579998,1216139,687013720,84480827,771494547,NSG-3
4,Dimapur,NFR,DMV,LMG,NAGALAND,NSG-5,NSG-3,729682,916079,1645761,664715396,82727415,747442811,NSG-3
5,Dibrugarh,NFR,DBRG,TSK,ASSAM,NSG-3,NSG-3,397069,393306,790375,660148180,51558285,711706465,NSG-3
6,New Tinsukia,NFR,NTSK,TSK,ASSAM,NSG-3,NSG-3,509097,557915,1067012,588133086,68853335,656986421,NSG-3
7,Agartala,NFR,AGTL,LMG,TRIPURA,NSG-5,NSG-3,519503,1681485,2200988,449084781,76779015,525863796,NSG-3
8,Badarpur Jn.,NFR,BPB,LMG,ASSAM,NSG-4,NSG-3,526106,429672,955778,416077042,35052985,451130027,NSG-3
9,Barsoi,NFR,BOE,KIR,BIHAR,NSG-3,NSG-3,386326,1117298,1503624,326376930,88468055,414844985,NSG-3
10,Silchar,NFR,SCL,LMG,ASSAM,NSG-6,NSG-3,563003,830948,1393951,311977396,61143845,373121241,NSG-3
11,New Alipurduar,NFR,NOQ,APDJ,WEST BENGAL,NSG-3,NSG-3,315523,433099,748622,308211456,47226045,355437501,NSG-3
12,Rangiya Jn.,NFR,RNY,RNY,ASSAM,NSG-3,NSG-3,341454,1336025,1677479,264844467,89286981,354131448,NSG-3
13,Mariani,NFR,MXN,TSK,ASSAM,NSG-3,NSG-3,241746,357740,599486,307301728,28530830,335832558,NSG-3
14,Siliguri Jn,NFR,SGUJ,KIR,WEST BENGAL,NSG-4,NSG-3,337879,1432316,1770195,230116774,81050965,311167739,NSG-3
15,Jogbani,NFR,JBN,KIR,BIHAR,NSG-4,NSG-3,128968,1115945,1244913,97216189,136212955,233429144,NSG-3
16,Naharlagun,NFR,NHLN,RNY,ARUNACHAL PRADESH,NSG-4,NSG-3,252897,39326,292223,205785508,3906122,209691630,NSG-3
1,Hojai,NFR,HJI,LMG,ASSAM,NSG-6,NSG-4,247056,789450,1036506,131672602,66879810,198552412,NSG-4
2,Lumding Jn.,NFR,LMG,LMG,ASSAM,NSG-6,NSG-4,326883,589353,916236,160699065,36652015,197351080,NSG-4
3,Rangapara North,NFR,RPAN,RNY,ASSAM,NSG-4,NSG-4,130091,473665,603756,167354746,23870892,191225638,NSG-4
4,Darjeeling,NFR,DJ,KIR,WEST BENGAL,NSG-5,NSG-4,160484,0,160484,184806087,0,184806087,NSG-4
5,Barpeta Road,NFR,BPRD,RNY,ASSAM,NSG-4,NSG-4,168259,591714,759973,144373835,35244560,179618395,NSG-4
6,Kokrajhar,NFR,KOJ,APDJ,ASSAM,NSG-4,NSG-4,128053,316343,444396,128159707,23605740,151765447,NSG-4
7,Dharmanagar,NFR,DMR,LMG,TRIPURA,NSG-3,NSG-4,154338,552333,706671,125469996,24390410,149860406,NSG-4
8,Simaluguri,NFR,SLGR,TSK,ASSAM,NSG-5,NSG-4,117358,389186,506544,103807158,28480585,132287743,NSG-4
9,Raiganj,NFR,RGJ,KIR,WEST BENGAL,NSG-4,NSG-4,214554,759112,973666,98184840,33330385,131515225,NSG-4
10,Arraria Court,NFR,ARQ,KIR,BIHAR,NSG-4,NSG-4,106789,424367,531156,85574698,43636445,129211143,NSG-4
11,Samsi,NFR,SM,KIR,WEST BENGAL,NSG-5,NSG-4,153800,920840,1074640,64669258,61304195,125973453,NSG-4
12,Harmuti,NFR,HMY,RNY,ASSAM,NSG-5,NSG-4,141957,273330,415287,101632070,18707486,120339556,NSG-4
13,Jalpaiguri Road,NFR,JPE,APDJ,WEST BENGAL,NSG-5,NSG-4,127794,198026,325820,101077427,14052910,115130337,NSG-4
14,Balurghat,NFR,BLGT,KIR,WEST BENGAL,NSG-5,NSG-4,171757,414873,586630,74288764,34331805,108620569,NSG-4
15,Furkating,NFR,FKG,TSK,ASSAM,NSG-5,NSG-4,115451,298341,413792,78446207,27443695,105889902,NSG-4
16,Dhupguri,NFR,DQG,APDJ,WEST BENGAL,NSG-4,NSG-4,100903,112264,213167,87056593,14237540,101294133,NSG-4
17,Chaparmukh Jn,NFR,CPK,LMG,ASSAM,NSG-6,NSG-4,68064,322258,390322,39850885,19038965,58889850,NSG-4
18,Jorhat Town,NFR,JTTN,TSK,ASSAM,NSG-5,NSG-4,152035,120398,272433,42752184,8696250,51448434,NSG-4
19,New Haflong,NFR,NHLG,LMG,ASSAM,NSG-6,NSG-4,55891,146202,202093,26691503,8809045,35500548,NSG-4
20,Dhemaji,NFR,DMC,TSK,ASSAM,NSG-5,NSG-4,46900,157873,204773,23480429,10027310,33507739,NSG-4
21,Dhubri,NFR,DBB,APDJ,ASSAM,NSG-5,NSG-4,19586,145103,164689,7212920,10627225,17840145,NSG-4
22,Tinsukia,NFR,TSK,TSK,ASSAM,NSG-5,NSG-4,10530,370886,381416,3537538,14285045,17822583,NSG-4
23,Karimganjjn.,NFR,KXJ,LMG,ASSAM,NSG-3,NSG-4,9470,329247,338717,2906579,7009535,9916114,NSG-4
24,Mendipathar,NFR,MNDP,RNY,MEGHALAYA,NSG-4,NSG-4,,15284,15284,,427280,427280,NSG-4
25,Changrabandha,NFR,CBD,APDJ,WEST BENGAL,NSG-6,NSG-4,0,10718,10718,0,220095,220095,NSG-4
2,Forbesganj,NFR,FBG,KIR,BIHAR,NSG-5,NSG-5,42779,494451,537230,58613289,33391095,92004384,NSG-5
3,New Mal Jn.,NFR,NMZ,APDJ,WEST BENGAL,NSG-5,NSG-5,108378,194608,302986,80443656,10827325,91270981,NSG-5
4,Alluabari Road,NFR,AUB,KIR,WEST BENGAL,NSG-5,NSG-5,96820,334520,431340,66976597,22249095,89225692,NSG-5
5,New Karimganj,NFR,NKMG,LMG,ASSAM,NSG-6,NSG-5,67578,37624,105202,78748782,3304550,82053332,NSG-5
6,Dalkhola,NFR,DLK,KIR,WEST BENGAL,NSG-5,NSG-5,76214,438887,515101,53523532,28413565,81937097,NSG-5
7,Jagi Road,NFR,JID,LMG,ASSAM,,NSG-5,43978,473402,517380,39837832,36645415,76483247,NSG-5
8,Purnia,NFR,PRNA,KIR,BIHAR,NSG-4,NSG-5,206530,1240835,1447365,206530,73774675,73981205,NSG-5
9,North Lakhimpur,NFR,NLP,TSK,ASSAM,NSG-5,NSG-5,86538,254217,340755,52850771,17326980,70177751,NSG-5
10,Harishchandrapur,NFR,HCR,KIR,WEST BENGAL,NSG-5,NSG-5,66476,777051,843527,34136534,34448900,68585434,NSG-5
11,Hasimara,NFR,HSA,APDJ,WEST BENGAL,NSG-5,NSG-5,58518,189993,248511,49224295,13231000,62455295,NSG-5
12,Thakurganj,NFR,TKG,KIR,BIHAR,NSG-6,NSG-5,49464,445232,494696,44481120,16821790,61302910,NSG-5
13,Dibrugarh Town,NFR,DBRT,TSK,ASSAM,NSG-3,NSG-5,21151,19166,40317,59279675,882280,60161955,NSG-5
14,Diphu,NFR,DPU,LMG,ASSAM,NSG-6,NSG-5,111265,328334,439599,39846528,18535610,58382138,NSG-5
15,Jalpaiguri,NFR,JPG,KIR,WEST BENGAL,NSG-5,NSG-5,75428,414620,490048,45025599,9505775,54531374,NSG-5
16,Murkongselek,NFR,MZS,TSK,ASSAM,NSG-5,NSG-5,76780,196853,273633,37412561,15494400,52906961,NSG-5
17,Lanka,NFR,LKA,LMG,ASSAM,NSG-6,NSG-5,87469,486491,573960,22087654,30786875,52874529,NSG-5
18,Falakata,NFR,FLK,APDJ,WEST BENGAL,NSG-5,NSG-5,67940,113896,181836,38476112,10854790,49330902,NSG-5
19,Udalguri,NFR,ULG,RNY,ASSAM,NSG-5,NSG-5,29465,359771,389236,32998060,13978503,46976563,NSG-5
20,Sarupathar,NFR,SZR,LMG,ASSAM,NSG-6,NSG-5,47741,297122,344863,27158876,18740970,45899846,NSG-5
21,Ambassa,NFR,ABSA,LMG,TRIPURA,NSG-6,NSG-5,37271,477744,515015,31342017,14109760,45451777,NSG-5
22,Kaliyaganj,NFR,KAJ,KIR,WEST BENGAL,NSG-5,NSG-5,49925,422420,472345,21003906,20595080,41598986,NSG-5
23,Azamnagar,NFR,AZR,KIR,BIHAR,NSG-5,NSG-5,38703,185038,223741,33802832,7222980,41025812,NSG-5
24,Labha,NFR,LAV,KIR,BIHAR,NSG-5,NSG-5,34170,353866,388036,19466786,21470755,40937541,NSG-5
25,Gangarampur,NFR,GRMP,KIR,WEST BENGAL,NSG-6,NSG-5,61965,234953,296918,22307878,17662710,39970588,NSG-5
26,Mathabhanga,NFR,MHBA,APDJ,WEST BENGAL,NSG-6,NSG-5,35608,66412,102020,31164392,8094920,39259312,NSG-5
27,Bagdogra,NFR,BORA,KIR,WEST BENGAL,NSG-6,NSG-5,39716,182736,222452,27002017,11848045,38850062,NSG-5
28,Nagaon,NFR,NGAN,LMG,ASSAM,NSG-6,NSG-5,29075,106867,135942,24404847,10325290,34730137,NSG-5
29,New Misamari,NFR,NMM,RNY,ASSAM,NSG-6,NSG-5,15618,173167,188785,27529675,6686793,34216468,NSG-5
30,Tangla,NFR,TNL,RNY,ASSAM,NSG-5,NSG-5,30874,490382,521256,20309526,13040203,33349729,NSG-5
31,Dinhata,NFR,DHH,APDJ,WEST BENGAL,NSG-5,NSG-5,40131,214613,254744,21682018,11534410,33216428,NSG-5
